Year,Production
1960,3040000000
1961,3428000000
1962,3797000000
1963,4362000000
1964,4653000000
1965,4998000000
1966,6127000000
1967,6387000000
1968,7203000000
1969,7830000000
1970,10627000000
1971,13198000000
1972,14055000000
1973,16155000000
1974,15382000000
1975,17335000000
1976,19119000000
1977,20379000000
1978,20905000000
1979,24098000000
1980,28647000000
1981,31835000000
1982,40590000000
1983,45442000000
1984,49706000000
1985,54248000000
1986,59693000000
1987,63035000000
1988,65987000000
1989,128193000000
1990,156082000000
1991,125401000000
1992,138821000000
1993,143970000000
1994,151581000000
1995,157537000000
1996,162041000000
1997,171739000000
1998,180233000000
1999,196223000000
2000,217095000000
2001,224461000000
2002,253263000000
2003,277856000000
2004,316183000000
2005,359313000000
2006,405335000000
2007,467437000000
2008,543399000000
2009,631821000000
2010,765437000000
2011,911584000000
2012,1067911000000
2013,1267134000000
2014,1435701000000
2015,1644540000000
